Date,Open,High,Low,Close,Adj Close,Volume
"20-Jul-15	""6",6775.08,6813.41 ,6772.09 ,6788.69 ,6788.69 ,6788.69 
"21-Jul-15	""6",6788.69,6800.13 ,6758.75 ,6769.07 ,6769.07 ,6769.07 
"22-Jul-15	""6",6769.07,6769.07 ,6653.39 ,6667.34 ,6667.34 ,6667.34 
"23-Jul-15	""6",6667.34,6711.49 ,6644.85 ,6655.01 ,6655.01 ,6655.01 
"24-Jul-15	""6",6655.01,6684.81 ,6573.96 ,6579.81 ,6579.81 ,6579.81 
"27-Jul-15	""6",6579.81,6589.48 ,6495.67 ,6505.13 ,6505.13 ,6505.13 
"28-Jul-15	""6",6505.13,6569.45 ,6505.13 ,6555.28 ,6555.28 ,6555.28 
"29-Jul-15	""6",6555.28,6634.04 ,6555.28 ,6631.00 ,6631.00 ,6631.00 
"30-Jul-15	""6",6631.00,6697.40 ,6631.00 ,6668.87 ,6668.87 ,6668.87 
"31-Jul-15	""6",6668.87,6705.42 ,6646.26 ,6696.28 ,6696.28 ,6696.28 
"3-Aug-15	""6",6696.28,6710.79 ,6668.18 ,6688.62 ,6688.62 ,6688.62 
"4-Aug-15	""6",6688.62,6715.51 ,6644.65 ,6686.57 ,6686.57 ,6686.57 
"5-Aug-15	""6",6686.57,6764.82 ,6686.57 ,6752.41 ,6752.41 ,6752.41 
"6-Aug-15	""6",6752.41,6763.34 ,6717.49 ,6747.09 ,6747.09 ,6747.09 
"7-Aug-15	""6",6747.09,6754.77 ,6718.49 ,6718.49 ,6718.49 ,6718.49 
"10-Aug-15	""6",6718.49,6751.49 ,6653.65 ,6736.22 ,6736.22 ,6736.22 
"11-Aug-15	""6",6736.22,6736.22 ,6663.98 ,6664.54 ,6664.54 ,6664.54 
"12-Aug-15	""6",6664.54,6664.54 ,6536.41 ,6571.19 ,6571.19 ,6571.19 
"13-Aug-15	""6",6571.19,6634.71 ,6553.45 ,6568.33 ,6568.33 ,6568.33 
"14-Aug-15	""6",6568.33,6603.17 ,6544.42 ,6550.74 ,6550.74 ,6550.74 
"17-Aug-15	""6",6550.74,6585.88 ,6507.76 ,6550.30 ,6550.30 ,6550.30 
"18-Aug-15	""6",6550.30,6564.55 ,6505.69 ,6526.29 ,6526.29 ,6526.29 
"19-Aug-15	""6",6526.29,6526.52 ,6403.45 ,6403.45 ,6403.45 ,6403.45 
"20-Aug-15	""6",6403.45,6408.61 ,6359.71 ,6367.89 ,6367.89 ,6367.89 
"21-Aug-15	""6",6367.89,6367.89 ,6187.65 ,6187.65 ,6187.65 ,6187.65 
"24-Aug-15	""6",6187.65,6187.65 ,5768.22 ,5898.87 ,5898.87 ,5898.87 
"25-Aug-15	""5",5898.87,6115.74 ,5898.87 ,6081.34 ,6081.34 ,6081.34 
"26-Aug-15	""6",6081.34,6095.05 ,5949.94 ,5979.20 ,5979.20 ,5979.20 
"27-Aug-15	""5",5979.20,6212.48 ,5979.20 ,6192.03 ,6192.03 ,6192.03 
"28-Aug-15	""6",6192.03,6247.94 ,6152.01 ,6247.94 ,6247.94 ,6247.94 
"1-Sep-15	""6",6247.94,6247.94 ,6028.71 ,6058.54 ,6058.54 ,6058.54 
"2-Sep-15	""6",6058.54,6161.68 ,6021.36 ,6083.31 ,6083.31 ,6083.31 
"3-Sep-15	""6",6083.31,6215.74 ,6083.31 ,6194.10 ,6194.10 ,6194.10 
"4-Sep-15	""6",6194.10,6194.10 ,6040.49 ,6042.92 ,6042.92 ,6042.92 
"7-Sep-15	""6",6042.92,6125.67 ,6042.92 ,6074.52 ,6074.52 ,6074.52 
"8-Sep-15	""6",6074.52,6196.47 ,6074.52 ,6146.10 ,6146.10 ,6146.10 
"9-Sep-15	""6",6146.10,6284.17 ,6146.10 ,6229.01 ,6229.01 ,6229.01 
"10-Sep-15	""6",6229.01,6229.01 ,6127.52 ,6155.81 ,6155.81 ,6155.81 
"11-Sep-15	""6",6155.81,6174.28 ,6113.10 ,6117.76 ,6117.76 ,6117.76 
"14-Sep-15	""6",6117.76,6191.82 ,6065.43 ,6084.59 ,6084.59 ,6084.59 
"15-Sep-15	""6",6084.59,6158.08 ,6019.92 ,6137.60 ,6137.60 ,6137.60 
"16-Sep-15	""6",6137.60,6244.94 ,6137.60 ,6229.21 ,6229.21 ,6229.21 
"17-Sep-15	""6",6229.21,6239.86 ,6182.63 ,6186.99 ,6186.99 ,6186.99 
"18-Sep-15	""6",6186.99,6188.74 ,6053.87 ,6104.11 ,6104.11 ,6104.11 
"21-Sep-15	""6",6104.11,6168.74 ,6083.64 ,6108.71 ,6108.71 ,6108.71 
"22-Sep-15	""6",6108.71,6111.57 ,5935.84 ,5935.84 ,5935.84 ,5935.84 
"23-Sep-15	""5",5935.84,6067.56 ,5933.23 ,6032.24 ,6032.24 ,6032.24 
"24-Sep-15	""6",6032.24,6055.64 ,5947.19 ,5961.49 ,5961.49 ,5961.49 
"25-Sep-15	""5",5961.49,6120.67 ,5961.49 ,6109.01 ,6109.01 ,6109.01 
"28-Sep-15	""6",6109.01,6110.31 ,5958.86 ,5958.86 ,5958.86 ,5958.86 
"29-Sep-15	""5",5958.86,5958.86 ,5877.08 ,5909.24 ,5909.24 ,5909.24 
"30-Sep-15	""5",5909.24,6061.61 ,5909.24 ,6061.61 ,6061.61 ,6061.61 
"1-Oct-15	""6",6061.61,6172.78 ,6053.26 ,6072.47 ,6072.47 ,6072.47 
"2-Oct-15	""6",6072.47,6176.20 ,6051.62 ,6129.98 ,6129.98 ,6129.98 
"5-Oct-15	""6",6129.98,6301.05 ,6129.98 ,6298.92 ,6298.92 ,6298.92 
"6-Oct-15	""6",6298.92,6343.71 ,6255.10 ,6326.16 ,6326.16 ,6326.16 
"7-Oct-15	""6",6326.16,6396.34 ,6319.77 ,6336.35 ,6336.35 ,6336.35 
"8-Oct-15	""6",6336.35,6380.30 ,6303.46 ,6374.82 ,6374.82 ,6374.82 
